reservoir,model,horizon,crps,wql,mae,n,skill_vs_clim
Vaigai,climatology,13,0.04150501662557621,0.4087403643232455,0.0529244381649209,147.0,0.0
Vaigai,persistence,1,0.006311646287998431,0.06535114606046459,0.007434777090198316,147.0,0.8263956198151314
Vaigai,persistence,4,0.01893283600352233,0.19325033393249272,0.022645493061396238,147.0,0.5135120455722413
Vaigai,persistence,8,0.027862868557440242,0.2799618371800216,0.034045249885322926,147.0,0.31197012881612685
Vaigai,persistence,13,0.03461149297458837,0.34085311604204904,0.04378903644195872,147.0,0.16608892638630857
Vaigai,seasonal_naive,1,0.03784501742179979,0.3918494713329664,0.0485995365710967,147.0,-0.04094248834730263
Vaigai,seasonal_naive,4,0.038034480986738395,0.3882237267712448,0.04834416265448343,147.0,0.02268646654323614
Vaigai,seasonal_naive,8,0.03814752357358638,0.38330047609823636,0.04881656652312215,147.0,0.05800669172988848
Vaigai,seasonal_naive,13,0.03788192234869984,0.3730602226173066,0.04797013494179079,147.0,0.08729292436046754
Vaigai,timesfm_covariates,1,0.005466605251447083,0.056601542916232234,0.006732519385225379,147.0,0.8496388148053562
Vaigai,timesfm_covariates,4,0.017469578080493126,0.17831463797008373,0.022092356815765234,147.0,0.5511111328744422
Vaigai,timesfm_covariates,8,0.025885024905002038,0.2600887669880588,0.03283858081603806,147.0,0.3608098780545633
Vaigai,timesfm_covariates,13,0.03240010124477339,0.3190753856664637,0.042162739897162196,147.0,0.2193690334578059
Vaigai,timesfm_univariate,1,0.005564901248818232,0.057619305285707176,0.007027144874879022,147.0,0.8469351436996544
